:START_ID(Comment)|:END_ID(Person)
1168231104513|35184372089722
618475290626|4398046512405
1168231104516|35184372089722
412316860421|8796093023077
1168231104519|26388279067210
1168231104520|26388279067210
1099511627786|10995116278182
1099511627787|4398046511357
1168231104525|28587302323389
1168231104526|26388279067210
893353197584|8796093023077
893353197585|4398046512405
481036337171|8796093023077
1168231104532|28587302323389
1168231104865|28587302323340
893353197922|13194139533439
1168231104867|28587302323340
1168231104868|10995116279024
687194767717|1628
1030792151398|26388279068209
1168231104871|32985348834358
481036337512|10995116278996
1168231104873|32985348834358
1030792151402|26388279068209
1168231104875|26388279067210
1168231104876|1628
962072674669|10995116277782
1168231104878|6597069767706
755914244464|8796093023614
824633721201|1640
1030792151410|2199023255557
1168231104883|24189255811081
1099511628148|19791209301531
824633721205|1640
1030792151414|19791209300150
1099511628151|19791209301531
1099511628152|35184372089264
1168231104889|24189255811081
1168231104890|28587302323340
1168231104891|30786325577795
1030792151420|19791209300150
1168231104893|10995116277782
755914244479|8796093023614
1099511628160|19791209301531
1099511628161|6597069767381
893353197954|6597069767381
1099511628163|30786325577795
1099511628164|30786325577795
1099511628165|13194139533439
1168231104902|24189255811081
1099511628167|1640
1099511628168|32985348834358
1099511628169|19791209300150
549755814282|17592186045577
1168231104907|24189255811081
1099511628172|32985348834358
1099511628174|32985348834358
1099511628175|19791209301531
1099511628176|26388279068209
1030792151441|2199023255557
1168231104914|28587302323340
1099511628179|1628
1099511628180|1628
1099511628181|19791209300150
962072674710|8796093023614
1099511628183|35184372089264
962072674712|17592186045577
1099511628185|2199023255557
1099511628186|1640
1099511628187|19791209301531
549755814301|10995116279024
549755814302|17592186045577
1168231104927|28587302323340
824633721248|1640
687194767777|1628
1030792151458|19791209300150
1168231104931|37383395344878
1168231104932|37383395344878
1168231104933|24189255811081
1030792151462|19791209300150
1030792151463|2199023255557
1168231104936|6597069767706
1168231104937|28587302323340
1030792151466|17592186045577
755914244524|1628
962072674733|10995116277782
962072674734|17592186045577
893353197999|13194139533439
755914244528|8796093023614
1030792151473|2199023255557
962072674738|17592186045577
1030792151475|19791209300150
1099511628212|19791209301531
962072674741|17592186045577
1099511628214|32985348834072
755914244535|8796093023614
755914244536|10995116279024
962072674745|10995116277782
1099511628219|19791209301531
1099511628220|8796093023614
1099511628221|1640
1099511628222|17592186045577
1099511628223|26388279068209
1099511628224|4398046512803
1099511628225|13194139533439
1099511628226|17592186045577
1099511628227|10995116278996
1099511628228|6597069767381
1099511628229|30786325577795
1099511628230|17592186045577
1099511628231|8796093023614
1099511628232|32985348834358
687194767818|15393162789357
1030792151499|2199023255557
1030792151500|26388279068209
687194767821|10995116278996
1030792151502|19791209300150
893353198031|13194139533439
1030792151504|30786325577795
1168231104977|28587302323340
1030792151506|19791209300150
1030792151507|6597069767381
1099511628244|32985348834358
1030792151509|30786325577795
1030792151510|6597069767381
1030792151511|10995116279024
1168231104985|6597069767706
1168231104986|37383395344878
962072674779|10995116277782
962072674780|10995116277782
1099511628253|35184372089264
1030792151518|30786325577795
1168231104991|28587302323340
1168231104992|2199023255557
1168231104993|8796093023614
893353198050|26388279067210
1168231104995|6597069767706
962072674788|4398046512803
755914244581|8796093023614
1168231104998|10995116278996
1168231105000|32985348834358
1168231105001|1640
1168231105002|6597069767381
1168231105003|1640
1168231105004|32985348834358
1168231105005|26388279068209
1168231105006|37383395344878
1168231105007|30786325577795
1168231105008|35184372089264
1168231105009|10995116279024
1168231105010|24189255811081
1168231105011|30786325577795
1168231105012|37383395344878
1168231105013|19791209300150
962072674807|10995116277782
1168231105016|6597069767706
1168231105017|37383395344878
1168231105018|4398046512803
1030792151547|19791209300150
1168231105020|24189255811081
1168231105021|6597069767706
1030792151550|30786325577795
1168231105023|2199023255557
1168231105024|6597069767381
1168231105025|1640
1168231105026|10995116279024
