:START_ID(Comment)|:END_ID(Tag)
1099511627786|2977
1099511627786|3006
1099511627786|5151
1099511627786|6694
1099511627786|10571
1168231104526|528
1168231104526|7557
893353197585|528
893353197585|1771
1168231104865|8
1168231104865|5744
1168231104865|7079
1168231104868|8
1168231104868|5058
1168231104868|7012
1168231104868|7079
1030792151398|8
1030792151398|9077
1168231104871|8
1168231104871|2791
1168231104871|8365
1030792151402|7576
1030792151402|9077
1168231104875|8
1168231104875|5058
1168231104875|7012
1168231104875|7079
1168231104875|14856
755914244464|1986
755914244464|9086
755914244464|9172
755914244464|12273
824633721201|8
824633721201|2930
824633721201|7526
824633721201|7603
824633721201|8488
824633721201|10496
1030792151414|8
1030792151414|775
1030792151414|2779
1030792151414|10496
1030792151414|11259
1030792151414|11823
1099511628152|8
1099511628152|205
1099511628152|785
1099511628152|7603
1099511628152|12410
1168231104889|594
1168231104889|6963
1168231104889|7570
755914244479|8
755914244479|15990
1099511628160|8
1099511628160|1191
1099511628161|8
1099511628161|1191
1099511628161|6949
1099511628163|8
1099511628163|2978
1099511628165|524
1099511628167|2978
1099511628167|11343
1099511628169|524
1099511628169|13067
1099511628172|2893
1099511628172|6399
1099511628174|8
1099511628174|138
1099511628174|565
1099511628174|7555
1099511628174|9302
1099511628174|12273
1099511628175|8
1099511628175|6961
1099511628175|7555
1099511628175|9147
1099511628175|11798
1099511628175|12273
1099511628180|565
1099511628180|2972
1099511628180|6771
1099511628180|9302
1099511628180|10931
962072674710|565
962072674710|6930
962072674710|11739
962072674712|565
962072674712|7019
962072674712|9742
1099511628187|565
1099511628187|2991
1099511628187|4849
1099511628187|12374
1030792151458|807
1030792151458|2919
1030792151458|6400
1030792151458|12067
1030792151463|8
1030792151463|1022
1030792151463|1994
1030792151463|5114
1030792151463|7079
1030792151463|9340
1168231104936|8
1168231104936|1022
1168231104936|2015
1168231104936|2783
1168231104936|5114
1168231104936|11806
755914244524|796
755914244524|2792
755914244524|6413
962072674733|796
962072674733|2792
962072674733|6413
962072674733|11599
962072674733|11674
755914244528|8
755914244528|2900
755914244528|5183
962072674738|581
962072674738|796
962072674738|2087
962072674738|2909
962072674738|6413
962072674738|11599
962072674741|571
962072674741|796
962072674741|2792
962072674741|2959
962072674741|5066
755914244536|796
755914244536|2792
755914244536|5841
755914244536|7522
1099511628225|8
1099511628225|1673
1099511628225|1684
1099511628225|3028
1099511628231|9274
1099511628231|12458
1030792151502|8
1030792151502|2778
1030792151502|5744
1030792151502|7570
1030792151504|8
1030792151504|5744
1030792151504|7570
1030792151504|7883
1030792151504|12232
1030792151506|1682
1030792151506|5744
1030792151506|9044
1030792151506|9071
1030792151507|8
1030792151507|5744
1030792151507|7603
1030792151507|9318
1030792151511|8
1030792151511|9056
1030792151511|12082
1168231104991|8
1168231104991|1993
1168231104991|2854
1168231104991|3060
1168231104991|5219
1168231104991|7603
1168231104991|9313
1168231104991|14011
1168231104991|15137
1168231104995|1993
1168231104995|2104
1168231104995|2854
1168231104995|7603
1168231104995|9068
1168231104995|9313
1168231104995|11628
1168231104995|13095
1168231104995|14011
1168231104995|15137
755914244581|2098
755914244581|7880
755914244581|12159
1168231105005|8
1168231105005|206
1168231105005|1021
1168231105005|1682
1168231105005|2971
1168231105005|3000
1168231105005|7578
1168231105006|1152
1168231105006|1682
1168231105006|2971
1168231105006|6421
1168231105006|6862
1168231105006|7578
1168231105006|8535
1168231105009|8
1168231105009|206
1168231105009|1403
1168231105009|1533
1168231105009|1682
1168231105009|2819
1168231105009|7578
1168231105009|12950
1168231105013|2834
1168231105013|2987
1168231105013|6136
1168231105013|6157
1168231105013|7578
1168231105016|5152
1168231105016|14016
1168231105024|6899
1168231105025|5459
1168231105025|6899
1168231105030|1408
1168231105030|1992
1168231105030|2889
1168231105030|2912
1168231105030|4847
1168231105030|5445
1168231105030|9041
1168231105030|9255
1168231105030|9293
1168231105030|12660
1030792151567|1670
1030792151567|5865
1030792151567|7012
1030792151567|7555
1030792151567|11752
1030792151570|5106
1030792151570|7012
1030792151570|7578
1030792151570|11686
893353198099|1670
893353198099|6407
893353198099|7555
893353198099|9398
893353198099|11924
1099511628308|5811
1099511628308|7578
1099511628308|10043
1099511628308|11686
1168231105045|1408
1168231105045|1670
1168231105045|7241
1168231105045|7555
1168231105045|11605
1168231105045|13123
549755814426|9907
549755814426|11595
549755814426|15666
1168231105053|7327
1168231105053|9064
1168231105053|9907
1168231105054|1672
1168231105054|2853
687194767903|9503
687194767903|9907
687194767903|11640
687194767903|15666
893353198114|8886
893353198114|9045
1099511628325|2859
1099511628325|5056
1099511628325|7248
1099511628325|12458
1168231105062|1532
1168231105062|2859
1168231105062|5056
1168231105062|5116
1168231105062|7248
1168231105062|12458
1099511628341|1396
1099511628341|1679
1099511628341|2001
1099511628341|7020
1099511628341|7569
1099511628341|11250
1099511628345|1679
1099511628345|3062
1099511628345|7569
1099511628345|9349
1099511628345|11250
1099511628345|11698
755914244668|297
755914244668|543
755914244668|1408
755914244668|5432
755914244668|9467
755914244668|11623
755914244668|12061
755914244670|297
755914244670|543
755914244670|1408
755914244670|1986
755914244670|1987
755914244670|5096
755914244670|5432
755914244670|12061
755914244670|15437
