:START_ID(Forum)|:END_ID(Person)
0|910
0|4398046511357
0|4398046512405
0|8796093023077
0|10995116278182
0|10995116279037
0|26388279067210
0|28587302322767
0|28587302323389
0|35184372089722
1099511627777|910
1099511627777|4398046511357
1099511627777|4398046512405
1099511627777|8796093023077
1099511627777|10995116278182
1099511627777|26388279067210
1099511627777|28587302322767
1099511627777|28587302323389
1099511627777|35184372089722
343597383682|910
343597383682|4398046511357
343597383682|4398046512405
343597383682|10995116278182
343597383682|10995116279037
343597383682|26388279067210
343597383682|28587302322767
343597383682|28587302323389
618475290627|910
618475290627|4398046511357
618475290627|8796093023077
618475290627|10995116278182
618475290627|26388279067210
618475290627|28587302323389
618475290627|35184372089722
549755813892|910
549755813892|4398046511357
549755813892|8796093023077
549755813892|10995116278182
549755813892|10995116279037
549755813892|26388279067210
549755813892|28587302323389
549755813892|35184372089722
824633720837|4398046511357
824633720837|4398046512405
824633720837|10995116279037
824633720837|28587302322767
824633720837|28587302323389
893353197574|910
893353197574|4398046511357
893353197574|8796093023077
893353197574|10995116279037
893353197574|26388279067210
893353197574|28587302322767
893353197574|28587302323389
893353197574|35184372089722
481036337159|4398046511357
481036337159|4398046512405
481036337159|10995116278182
481036337159|10995116279037
481036337159|26388279067210
481036337159|28587302322767
481036337159|28587302323389
481036337159|35184372089722
755914244104|4398046511357
755914244104|4398046512405
755914244104|8796093023077
755914244104|10995116279037
755914244104|26388279067210
755914244104|28587302322767
755914244104|28587302323389
755914244104|35184372089722
1030792151049|4398046511357
1030792151049|4398046512405
1030792151049|8796093023077
1030792151049|10995116278182
1030792151049|26388279067210
1030792151049|28587302323389
1030792151049|35184372089722
893353197578|910
893353197578|4398046511357
893353197578|4398046512405
893353197578|8796093023077
893353197578|10995116278182
893353197578|10995116279037
893353197578|28587302323389
893353197578|35184372089722
481036337163|910
481036337163|4398046511357
481036337163|8796093023077
481036337163|28587302322767
481036337163|28587302323389
206158430220|910
206158430220|4398046512405
206158430220|8796093023077
206158430220|10995116278182
206158430220|10995116279037
206158430220|26388279067210
206158430220|28587302322767
206158430220|28587302323389
206158430220|35184372089722
343597383693|910
343597383693|4398046511357
343597383693|4398046512405
343597383693|8796093023077
343597383693|10995116279037
343597383693|26388279067210
343597383693|28587302322767
343597383693|35184372089722
412316860430|910
412316860430|4398046511357
412316860430|8796093023077
412316860430|10995116279037
412316860430|28587302322767
412316860430|28587302323389
412316860430|35184372089722
481036337167|4398046511357
481036337167|4398046512405
481036337167|8796093023077
481036337167|10995116278182
481036337167|26388279067210
481036337167|28587302322767
481036337167|28587302323389
481036337167|35184372089722
412316860432|910
412316860432|4398046512405
412316860432|10995116278182
412316860432|10995116279037
412316860432|26388279067210
412316860432|28587302323389
412316860432|35184372089722
755914244113|910
755914244113|4398046511357
755914244113|4398046512405
755914244113|10995116278182
755914244113|10995116279037
755914244113|26388279067210
755914244113|28587302322767
755914244113|28587302323389
206158430226|910
206158430226|4398046511357
206158430226|4398046512405
206158430226|8796093023077
206158430226|10995116278182
206158430226|28587302322767
824633720851|910
824633720851|4398046512405
824633720851|10995116278182
824633720851|10995116279037
824633720851|28587302322767
824633720851|28587302323389
824633720851|35184372089722
412316860436|910
412316860436|4398046511357
412316860436|8796093023077
412316860436|35184372089722
893353197589|4398046511357
893353197589|4398046512405
893353197589|8796093023077
893353197589|10995116278182
893353197589|10995116279037
893353197589|26388279067210
893353197589|28587302322767
755914244118|910
755914244118|4398046511357
755914244118|4398046512405
755914244118|8796093023077
755914244118|10995116278182
755914244118|10995116279037
824633720855|910
824633720855|4398046511357
824633720855|4398046512405
824633720855|8796093023077
824633720855|10995116278182
824633720855|26388279067210
824633720855|28587302323389
824633720855|35184372089722
1030792151064|4398046511357
1030792151064|4398046512405
1030792151064|8796093023077
1030792151064|10995116279037
1030792151064|28587302322767
1030792151064|28587302323389
1030792151064|35184372089722
343597383705|910
343597383705|4398046511357
