:START_ID(Post)|:END_ID(Person)
618475290624|1640
3|1640
962072674310|1640
1099511627785|1640
481036337164|1640
893353197583|1640
481036337170|1640
343597383701|1640
343597383702|1640
343597383703|1640
343597383704|1640
343597383705|1640
343597383706|1640
343597383707|1640
343597383708|1640
343597383709|1640
343597383710|1640
343597383711|1640
343597383712|1640
343597383713|1640
343597383714|1640
343597383715|1640
343597383716|1640
343597383717|1640
343597383718|1640
343597383719|1640
618475290664|1640
618475290665|1640
618475290666|1640
618475290667|1640
618475290668|1640
618475290669|1640
618475290670|1640
618475290671|1640
618475290672|1640
618475290673|1640
618475290674|1640
618475290675|1640
618475290676|1640
618475290677|1640
618475290678|1640
618475290679|1640
549755813944|1640
549755813945|1640
549755813946|1640
549755813947|1640
549755813948|1640
549755813949|1640
549755813950|1640
824633720895|1640
893353197632|1640
893353197633|1640
481036337218|1640
481036337219|1640
481036337220|1640
481036337221|1640
481036337222|1640
481036337223|1640
481036337224|1640
481036337225|1640
481036337226|1640
481036337227|1640
481036337228|1640
481036337229|1640
481036337230|1640
481036337231|1640
481036337232|1640
481036337233|1640
755914244178|1640
755914244179|1640
755914244180|1640
755914244181|1640
755914244182|1640
755914244183|1640
755914244184|1640
755914244185|1640
755914244186|1640
755914244187|1640
755914244188|1640
755914244189|1640
755914244190|1640
755914244191|1640
755914244192|1640
755914244193|1640
755914244194|1640
755914244195|1640
755914244196|1640
755914244197|1640
1030792151142|1640
893353197671|1640
893353197672|1640
893353197673|1640
893353197674|1640
893353197675|1640
893353197676|1640
893353197677|1640
893353197678|1640
893353197679|1640
893353197680|1640
893353197681|1640
893353197682|1640
893353197683|1640
893353197684|1640
893353197685|1640
893353197686|1640
893353197687|1640
893353197688|1640
893353197689|1640
481036337274|1640
481036337275|1640
481036337276|1640
481036337277|1640
481036337278|1640
481036337279|1640
206158430336|1640
206158430337|1640
206158430338|1640
206158430339|1640
206158430340|1640
206158430341|1640
206158430342|1640
206158430343|1640
206158430344|1640
206158430345|1640
206158430346|1640
206158430347|1640
206158430348|1640
206158430349|1640
206158430350|1640
206158430351|1640
412316860560|1640
412316860561|1640
412316860562|1640
412316860563|1640
412316860564|1640
412316860565|1640
412316860566|1640
412316860567|1640
412316860568|1640
412316860569|1640
412316860570|1640
412316860571|1640
412316860572|1640
412316860573|1640
412316860574|1640
412316860575|1640
412316860576|1640
412316860577|1640
412316860578|1640
412316860579|1640
481036337316|1640
481036337317|1640
481036337318|1640
481036337319|1640
481036337320|1640
481036337321|1640
481036337322|1640
481036337323|1640
481036337324|1640
481036337325|1640
481036337326|1640
481036337327|1640
481036337328|1640
481036337329|1640
481036337330|1640
481036337331|1640
481036337332|1640
481036337333|1640
481036337334|1640
412316860599|1640
412316860600|1640
412316860601|1640
412316860602|1640
412316860603|1640
412316860604|1640
412316860605|1640
412316860606|1640
412316860607|1640
412316860608|1640
412316860609|1640
412316860610|1640
412316860611|1640
412316860612|1640
412316860613|1640
412316860614|1640
755914244295|1640
755914244296|1640
755914244297|1640
755914244298|1640
755914244299|1640
755914244300|1640
755914244301|1640
755914244302|1640
206158430415|1640
206158430416|1640
206158430417|1640
206158430418|1640
206158430419|1640
206158430420|1640
206158430421|1640
206158430422|1640
206158430423|1640
206158430424|1640
206158430425|1640
206158430426|1640
206158430427|1640
206158430428|1640
206158430429|1640
206158430430|1640
206158430431|1640
206158430432|1640
206158430433|1640
412316860642|1640
412316860643|1640
412316860644|1640
412316860645|1640
412316860646|1640
412316860647|1640
412316860648|1640
412316860649|1640
412316860650|1640
412316860651|1640
412316860652|1640
412316860653|1640
412316860654|1640
412316860655|1640
412316860656|1640
893353197809|1640
893353197810|1640
893353197811|1640
893353197812|1640
893353197813|1640
893353197814|1640
893353197815|1640
893353197816|1640
755914244345|1640
755914244346|1640
824633721083|1640
824633721084|1640
824633721085|1640
824633721086|1640
824633721087|1640
824633721088|1640
824633721089|1640
824633721090|1640
824633721091|1640
824633721092|1640
824633721093|1640
824633721094|1640
824633721095|1640
824633721096|1640
824633721097|1640
824633721098|1640
824633721099|1640
824633721100|1640
824633721101|1640
1030792151310|1640
1030792151311|1640
1030792151312|1640
1030792151313|1640
1030792151314|1640
1030792151315|1640
1030792151316|1640
1030792151317|1640
1030792151318|1640
343597383959|1640
343597383960|1640
343597383961|1640
343597383962|1640
343597383963|1640
824633721116|1640
824633721117|1640
824633721118|1640
824633721119|1640
824633721120|1640
824633721121|1640
824633721122|1640
824633721123|1640
824633721124|1640
824633721125|1640
824633721126|1640
824633721127|1640
824633721128|1640
824633721129|1640
893353197866|1640
893353197867|1640
893353197868|1640
893353197869|1640
893353197870|1640
893353197871|1640
893353197872|1640
893353197873|1640
893353197874|1640
893353197875|1640
893353197876|1640
893353197877|1640
893353197878|1640
893353197879|1640
893353197880|1640
893353197881|1640
893353197882|1640
893353197883|1640
755914244412|1640
755914244413|1640
755914244414|1640
755914244415|1640
755914244416|1640
755914244417|1640
68719477058|1640
68719477059|1640
893353197892|1640
893353197893|1640
893353197894|1640
687194767687|1640
687194767688|1640
687194767689|1640
687194767690|1640
687194767691|1640
687194767692|1640
687194767693|1640
687194767694|1640
687194767695|1640
687194767696|1640
687194767697|1640
687194767698|1640
1168231104851|1640
1168231104852|1640
1168231104853|1640
1168231104854|1640
1168231104855|1640
1168231104856|1640
618475290969|1640
618475290970|1640
618475290971|1640
618475290972|1640
618475290973|1640
618475290974|1640
618475290975|1640
481036337504|10995116278182
755914244463|10995116278182
549755814270|10995116278182
962072674701|10995116278182
481036337564|10995116278182
755914244523|10995116278182
1099511628218|10995116278182
687194767817|10995116278182
481036337624|10995116278182
1168231104999|10995116278182
549755814390|10995116278182
481036337669|10995116278182
481036337678|10995116278182
481036337687|10995116278182
481036337696|10995116278182
687194767913|10995116278182
687194767922|10995116278182
481036337723|10995116278182
687194767940|10995116278182
481036337741|10995116278182
962072674902|13194139534789
618475291235|13194139534789
412316861039|13194139534789
549755814514|13194139534789
549755814515|13194139534789
549755814516|13194139534789
549755814517|13194139534789
549755814518|13194139534789
549755814519|13194139534789
549755814520|13194139534789
549755814521|13194139534789
549755814522|13194139534789
549755814523|13194139534789
549755814524|13194139534789
549755814525|13194139534789
549755814526|13194139534789
549755814527|13194139534789
549755814528|13194139534789
893353198209|13194139534789
893353198210|13194139534789
893353198211|13194139534789
893353198212|13194139534789
893353198213|13194139534789
893353198214|13194139534789
893353198215|13194139534789
893353198216|13194139534789
893353198217|13194139534789
893353198218|13194139534789
893353198219|13194139534789
893353198220|13194139534789
893353198221|13194139534789
893353198222|13194139534789
893353198223|13194139534789
893353198224|13194139534789
893353198225|13194139534789
893353198226|13194139534789
893353198227|13194139534789
893353198228|13194139534789
962072674965|13194139534789
962072674966|13194139534789
893353198231|13194139534789
893353198232|13194139534789
893353198233|13194139534789
893353198234|13194139534789
893353198235|13194139534789
893353198236|13194139534789
893353198237|13194139534789
893353198238|13194139534789
893353198239|13194139534789
893353198240|13194139534789
893353198241|13194139534789
893353198242|13194139534789
893353198243|13194139534789
893353198244|13194139534789
1168231105189|13194139534789
1168231105190|13194139534789
1168231105191|13194139534789
1168231105192|13194139534789
1168231105193|13194139534789
1168231105194|13194139534789
1168231105195|13194139534789
1168231105196|13194139534789
1168231105197|13194139534789
1168231105198|13194139534789
1168231105199|13194139534789
1168231105200|13194139534789
1168231105201|13194139534789
1168231105202|13194139534789
1168231105203|13194139534789
1168231105204|13194139534789
1168231105205|13194139534789
1168231105206|13194139534789
1168231105207|13194139534789
962072675000|13194139534789
962072675001|13194139534789
962072675002|13194139534789
962072675003|13194139534789
962072675004|13194139534789
962072675005|13194139534789
962072675006|13194139534789
962072675007|13194139534789
962072675008|13194139534789
962072675009|13194139534789
687194768066|13194139534789
687194768067|13194139534789
687194768068|13194139534789
687194768069|13194139534789
481036337862|13194139534789
481036337863|13194139534789
481036337864|13194139534789
481036337865|13194139534789
481036337866|13194139534789
481036337867|13194139534789
481036337868|13194139534789
481036337869|13194139534789
481036337870|13194139534789
481036337871|13194139534789
481036337872|13194139534789
481036337873|13194139534789
481036337874|13194139534789
481036337875|13194139534789
481036337876|13194139534789
481036337877|13194139534789
481036337878|13194139534789
824633721559|13194139534789
824633721560|13194139534789
824633721561|13194139534789
824633721562|13194139534789
824633721563|13194139534789
824633721564|13194139534789
824633721565|13194139534789
824633721566|13194139534789
824633721567|13194139534789
824633721568|13194139534789
824633721569|13194139534789
824633721570|13194139534789
824633721571|13194139534789
824633721572|13194139534789
824633721573|13194139534789
824633721574|13194139534789
824633721575|13194139534789
824633721576|13194139534789
824633721577|13194139534789
824633721578|13194139534789
824633721579|13194139534789
824633721580|13194139534789
824633721581|13194139534789
824633721582|13194139534789
824633721583|13194139534789
824633721584|13194139534789
824633721585|13194139534789
481036337906|13194139534789
481036337907|13194139534789
481036337908|13194139534789
481036337909|13194139534789
481036337910|13194139534789
481036337911|13194139534789
481036337912|13194139534789
481036337913|13194139534789
481036337914|13194139534789
481036337915|13194139534789
755914244860|13194139534789
755914244861|13194139534789
755914244862|13194139534789
755914244863|13194139534789
755914244864|13194139534789
755914244865|13194139534789
481036337922|13194139534789
893353198339|13194139534789
893353198340|13194139534789
893353198341|13194139534789
893353198342|13194139534789
1168231105287|13194139534789
1168231105288|13194139534789
1168231105289|13194139534789
1168231105290|13194139534789
1168231105291|13194139534789
1168231105292|13194139534789
1168231105293|13194139534789
1168231105294|13194139534789
1168231105295|13194139534789
1168231105296|13194139534789
1168231105297|13194139534789
1168231105298|13194139534789
1168231105299|13194139534789
1168231105300|13194139534789
1168231105301|13194139534789
1168231105302|13194139534789
1168231105303|13194139534789
1168231105304|13194139534789
1168231105305|13194139534789
1168231105306|13194139534789
1168231105307|13194139534789
1168231105308|13194139534789
1168231105309|13194139534789
1168231105310|13194139534789
1168231105311|13194139534789
1168231105312|13194139534789
1168231105313|13194139534789
1168231105314|13194139534789
1168231105315|13194139534789
1168231105316|13194139534789
1168231105317|13194139534789
1168231105318|13194139534789
1168231105319|13194139534789
1168231105320|13194139534789
1168231105321|13194139534789
1168231105322|13194139534789
1099511628587|13194139534789
1099511628588|13194139534789
1099511628589|13194139534789
1099511628590|13194139534789
893353198383|13194139534789
893353198384|13194139534789
893353198385|13194139534789
893353198386|13194139534789
893353198387|13194139534789
893353198388|13194139534789
893353198389|13194139534789
893353198390|13194139534789
893353198391|13194139534789
893353198392|13194139534789
893353198393|13194139534789
893353198394|13194139534789
893353198395|13194139534789
893353198396|13194139534789
893353198397|13194139534789
893353198398|13194139534789
